geoid,geoid20,year,denom_known_poverty_1,housing_stability_count,housing_stability_pct
1400000US06037189802,6037189802,2021,1912,1603,83.838913
1400000US06037189903,6037189903,2021,2209,1899,85.966499
1400000US06037189904,6037189904,2021,2264,1536,67.844521
1400000US06037189905,6037189905,2021,2465,2177,88.316429
1400000US06037189906,6037189906,2021,2428,1896,78.088959
1400000US06037189907,6037189907,2021,2380,1954,82.100838
1400000US06037190101,6037190101,2021,1659,1221,73.598557
1400000US06037190102,6037190102,2021,2427,1745,71.899467
1400000US06037190201,6037190201,2021,2471,2030,82.152977
1400000US06037190202,6037190202,2021,2988,2521,84.370819
1400000US06037190302,6037190302,2021,2800,2494,89.071426
1400000US06037190303,6037190303,2021,2514,2319,92.243439
1400000US06037190401,6037190401,2021,2889,2609,90.308067
1400000US06037190402,6037190402,2021,2150,1740,80.930229
1400000US06037190510,6037190510,2021,3667,3141,85.655853
1400000US06037190520,6037190520,2021,3864,3593,92.986542
1400000US06037190701,6037190701,2021,1551,1368,88.201164
1400000US06037190702,6037190702,2021,1161,1052,90.611542
1400000US06037190801,6037190801,2021,2742,2149,78.373451
1400000US06037190802,6037190802,2021,2923,2417,82.689018
1400000US06037190901,6037190901,2021,3602,3299,91.588005
1400000US06037190902,6037190902,2021,3668,3452,94.111229
1400000US06037191000,6037191000,2021,4894,3605,73.661629
1400000US06037191110,6037191110,2021,2895,2585,89.291885
1400000US06037191120,6037191120,2021,3606,3313,91.874657
1400000US06037191201,6037191201,2021,4798,4381,91.308876
1400000US06037191203,6037191203,2021,2345,2131,90.874199
1400000US06037191204,6037191204,2021,1488,1274,85.618279
1400000US06037191301,6037191301,2021,2231,2038,91.349174
1400000US06037191302,6037191302,2021,1766,1539,87.146095
1400000US06037191410,6037191410,2021,3242,2830,87.291794
1400000US06037191420,6037191420,2021,3493,3214,92.012596
1400000US06037191500,6037191500,2021,5437,4995,91.870514
1400000US06037191610,6037191610,2021,3912,3354,85.736198
1400000US06037191620,6037191620,2021,2717,2491,91.681999
1400000US06037191710,6037191710,2021,2606,2522,96.776672
1400000US06037191720,6037191720,2021,3434,3261,94.962143
1400000US06037191810,6037191810,2021,2969,2727,91.849106
1400000US06037191820,6037191820,2021,3463,2763,79.786316
1400000US06037191901,6037191901,2021,3609,3033,84.039902
